Producer,941,125
Producer,70,208
Producer,326,125
Producer,282,83
Producer,354,41
Consumer,560,84
Consumer,501,125
Consumer,463,42
Consumer,126,84
Consumer,38,42
Consumer,47,41
Consumer,214,41
Producer,993,363250
Producer,568,331542
Consumer,329,158334
Consumer,975,150916
Producer,947,421000
Producer,421,445542
Consumer,523,161000
Producer,698,470375
Producer,930,83
Producer,7802,84
Producer,5215,125
Producer,3022,42
Producer,1325,125
Producer,687,41
Producer,146,42
Producer,186,84
Consumer,6479,42
Consumer,1010,41
Consumer,9034,84
Producer,5280,2069459
Consumer,3636,84
Consumer,2386,42
Consumer,1265,41
Producer,6536,2130333
Producer,5915,2093708
Consumer,5838,84
Consumer,4455,41
Producer,3338,2112916
Producer,4808,2124584
Consumer,7197,83
Producer,7058,2139916
Consumer,4996,42
Producer,4923,2168667
Consumer,6038,42
Consumer,3131,84
Producer,8100,2207208
Consumer,5223,248959
Consumer,4487,42
Producer,2210,2230500
Producer,9957,2224417
Consumer,5056,42
Consumer,6653,195875
Producer,8413,2268834
Producer,7118,2263666
Consumer,7112,447375
Producer,4220,2291708
Producer,4013,2296500
Consumer,9650,478625
Producer,7906,2315834
Consumer,9163,441333
Producer,9160,2332000
Producer,2250,2294125
Consumer,9961,402666
Consumer,5793,83
Consumer,841,41
Producer,6022,2350625
Producer,2935,2399000
Consumer,9048,42
Producer,3441,2412416
Producer,3743,2411709
Consumer,1198,42
Producer,6510,2444250
Consumer,4439,42
Producer,2765,2462709
Consumer,7354,42
Producer,4361,2562709
Producer,1956,2599959
Consumer,2914,83
Consumer,5442,152708
Producer,2219,2709750
Producer,2228,2712458
Consumer,3588,42
Producer,3378,2997042
Consumer,5893,83
Producer,6983,3056333
Consumer,5630,41
Producer,7145,3107083
Consumer,8918,500250
Producer,7567,3133541
Consumer,1708,84
Consumer,4893,42
Producer,6395,3195166
Producer,3353,3199084
Consumer,8850,989833
Producer,6780,3242375
Consumer,6982,490542
Producer,9502,3263417
Consumer,1728,41
Consumer,8035,42
Producer,7040,3361959
Consumer,8427,84
Producer,4197,3392084
Producer,7515,3402416
Consumer,1149,626917
Consumer,8069,1212583
Producer,8908,3427166
Producer,4764,3434416
Consumer,9183,581791
Consumer,540,333
Consumer,5870,83
Producer,7942,3563083
Consumer,3819,250
Producer,7526,3693625
Consumer,5626,42
Producer,8311,3721583
Consumer,9435,83
Consumer,4581,866375
Producer,7702,3781625
Consumer,5801,41
Producer,894,3842334
Producer,7617,3867083
Producer,5440,3868833
Consumer,8009,1409417
Producer,8611,3883459
Consumer,24,42
Consumer,2439,846666
Consumer,769,84
Consumer,6866,865833
Consumer,4718,854834
Consumer,308,83
Producer,2287,4058584
Producer,6856,4081208
Producer,7252,4079583
Consumer,1733,41
Consumer,7315,42
Producer,1163,4104917
Producer,8753,4077292
Consumer,5739,42
Consumer,8042,1939625
Consumer,5670,694042
Producer,4726,5605000
Producer,1457,5614791
Consumer,6370,2253667
Producer,2521,5675792
Producer,5190,5675750
Consumer,2343,83
Producer,8242,5698833
Consumer,4897,2251834
Consumer,7644,3165500
Producer,1316,5815000
Producer,3039,5889000
Consumer,3180,2152833
Producer,3962,5915917
Consumer,6094,209
Producer,1169,5901375
Consumer,293,125
Producer,2978,5994042
Producer,3325,6000292
Producer,2972,6017667
Consumer,1644,84
Consumer,8566,2844666
Producer,1982,6049750
Producer,5533,6057916
Consumer,4307,42
Consumer,3379,0
Producer,4489,6103708
Producer,9099,6112125
Consumer,9266,4486208
Consumer,2211,500
Producer,5294,6208250
Producer,9568,6243708
