Producer,815,84
Producer,238,292
Producer,887,208
Consumer,539,125
Producer,472,83
Consumer,60,125
Consumer,966,0
Consumer,732,42
Consumer,36,42
Producer,939,330750
Producer,145,316750
Producer,482,313375
Consumer,422,176125
Consumer,446,181125
Consumer,594,181583
Producer,883,442083
Producer,776,475875
Consumer,139,267667
Consumer,686,255459
Producer,658,566833
Producer,2367,83
Producer,1412,41
Producer,3129,125
Producer,5739,83
Producer,1913,41
Producer,2443,41
Producer,1269,41
Producer,116,42
Producer,882,125
Producer,682,41
Consumer,3387,41
Consumer,8443,42
Producer,3150,2117208
Producer,2818,2083834
Consumer,6157,0
Producer,4810,2112375
Consumer,6010,42
Producer,2527,2140208
Consumer,8786,145583
Producer,7876,2156625
Consumer,3134,41
Producer,3065,2185834
Consumer,3640,42
Producer,3050,2203083
Consumer,4075,0
Producer,9869,2215000
Consumer,8178,42
Producer,3472,2250458
Consumer,7680,28000
Producer,2664,2266209
Consumer,1963,83
Consumer,525,84
Producer,2318,2365875
Producer,8004,2364500
Consumer,9738,139083
Producer,4215,2483583
Consumer,5886,83
Producer,2402,2829250
Consumer,1966,42
Producer,4291,2927666
Consumer,1949,84
Producer,1786,2988667
Consumer,3676,42
Producer,4787,3032125
Consumer,4475,41
Producer,1679,2964542
Consumer,1844,41
Producer,7434,2990750
Consumer,8487,200708
Producer,6855,3026084
Consumer,2212,42
Producer,2001,3062083
Consumer,6179,817042
Producer,5978,3100625
Consumer,683,41
Consumer,3828,41
Producer,7843,3173917
Producer,6971,3115375
Consumer,9617,597000
Consumer,574,0
Consumer,1418,379542
Producer,1764,3206542
Producer,870,3243833
Consumer,5390,41
Consumer,347,208
Producer,2288,3309084
Producer,6685,3358541
Producer,7562,3341250
Consumer,2383,83
Consumer,5865,627042
Consumer,8798,42
Producer,2865,3461417
Producer,8420,3457041
Producer,2491,3456167
Consumer,7186,639333
Consumer,7370,42
Producer,2577,3449000
Producer,1598,3455541
Consumer,3539,83
Producer,3233,3580958
Consumer,472,41
Producer,6445,3638875
Consumer,8025,41
Producer,2304,3673958
Consumer,3162,42
Producer,9688,3689917
Consumer,3087,42
Consumer,4761,0
Producer,4649,3738875
Producer,9221,3740291
Consumer,6394,42
Consumer,561,41
Consumer,8347,458292
Producer,2412,3785542
Producer,1919,3789875
Producer,1912,3751583
Consumer,7270,83
Producer,3954,3773625
Consumer,2767,83
Producer,3138,3814875
Consumer,4784,83
Producer,1544,3962958
Consumer,795,83
Producer,1751,4880334
Consumer,2852,42
Producer,3350,5128625
Consumer,839,84
Producer,9106,5172250
Consumer,3752,2845666
Producer,7839,5199167
Consumer,5759,1831000
Producer,9566,5221292
Consumer,8278,2240083
Producer,357,5299333
Consumer,2993,41
Consumer,5468,125
Consumer,1880,83
Producer,3571,7735375
Producer,240,7731500
Producer,9937,7735542
Consumer,6453,5748250
Consumer,6732,41
Producer,7349,7852917
Producer,8229,7870541
Consumer,9428,83
Consumer,7822,4961333
Consumer,197,83
Producer,6361,7934166
Consumer,2543,83
Producer,6034,7960041
Consumer,2742,42
Producer,1904,7967166
Consumer,8244,5994833
Producer,2264,7986792
Producer,5998,7977667
Consumer,5296,4551417
Producer,4572,7976417
Consumer,416,41
Consumer,5183,167
Producer,3975,8081333
Consumer,3922,42
Producer,1256,8346542
Producer,5301,8352042
Consumer,9293,84
Producer,8142,8400000
Consumer,7490,5516083
Producer,828,8397167
Producer,2532,8401041
Producer,8757,105015875
Consumer,8943,104093500
Consumer,3987,105536625
Producer,53169,333
Producer,41206,459
Producer,85141,375
Producer,20190,84
Producer,47,42
Producer,187,41
Consumer,2176,375
Consumer,77626,167
Consumer,73478,83
Producer,54006,41173917
Consumer,44089,83
Producer,27500,41101583
Consumer,46207,42
Producer,88041,41163833
Producer,57581,41150666
Consumer,97588,83
Consumer,83441,206334
Producer,86741,41196417
Producer,46459,41204583
Consumer,55032,125
Producer,83823,41301459
Consumer,69700,83
Producer,89245,41310958
Consumer,11096,125
Consumer,89788,167
Consumer,39233,83
Consumer,13563,42
Producer,51869,41470250
Producer,47920,41459667
Producer,54177,41452250
Consumer,72331,84
Producer,60589,41512250
Consumer,61569,125
Consumer,76890,83
Producer,96679,41546500
Consumer,8893,84
Producer,13112,41739875
Consumer,64002,125
Consumer,31981,83
Producer,53329,41805042
Consumer,80507,42
Producer,12839,41810958
Producer,62867,41826625
Consumer,59070,60875
Producer,37767,41860042
Consumer,66132,83
Producer,44133,41999208
Consumer,25421,125
Consumer,4165,83
Producer,23213,42184416
Producer,80746,42191083
Consumer,58130,0
Producer,94518,42216125
Consumer,87706,96500
Producer,45182,42228584
Consumer,90169,533334
Producer,96692,42240375
Consumer,94915,309250
Producer,99124,42257250
Consumer,61988,41
Producer,54336,42452167
Consumer,99870,70959
Producer,84589,42579333
Consumer,75159,116542
Producer,62814,42603041
Consumer,22090,130750
Producer,20080,42650000
Consumer,62361,84
Producer,71118,42766583
Consumer,77183,42
Consumer,16473,42
