Producer,741,83
Producer,918,167
Producer,125,125
Consumer,929,83
Consumer,751,209
Consumer,69,41
Producer,815,451875
Producer,842,428792
Consumer,727,278125
Consumer,568,260000
Producer,842,528583
Consumer,668,328166
Producer,322,581875
Consumer,575,356167
Producer,351,646375
Consumer,131,364250
Producer,996,712250
Consumer,379,385125
Producer,7352,125
Producer,1956,41
Producer,6878,42
Producer,3326,125
Producer,151,41
Producer,114,42
Consumer,6711,83
Consumer,1094,41
Consumer,7781,42
Producer,6076,2530084
Consumer,7536,83
Producer,5801,2695334
Producer,5622,2697958
Consumer,3287,125
Consumer,9422,42
Consumer,1387,125
Producer,8067,2802000
Consumer,7783,167750
Producer,4179,2837375
Producer,4438,2785792
Producer,5882,2717083
Consumer,7123,41
Consumer,6764,164917
Producer,5204,2727875
Consumer,4491,125
Consumer,834,41
Producer,8868,2806875
Producer,4377,2803292
Consumer,2763,41
Producer,4523,2808500
Consumer,2507,365416
Consumer,321,84
Consumer,4318,422459
Producer,6637,2883959
Consumer,5356,84
Consumer,1964,84
Consumer,5296,510041
Producer,9716,3006958
Producer,6056,2993417
Consumer,4852,42
Consumer,1279,125
Consumer,7567,83
Producer,1881,3009208
Consumer,1826,41
Producer,7402,3042334
Producer,7753,3012042
Consumer,6742,41
Consumer,7727,83
Producer,9672,3032333
Consumer,8444,313959
Producer,5899,3074208
Consumer,1113,42
Consumer,7325,41
Producer,5795,3097458
Consumer,6209,275791
Producer,881,3228750
Producer,266,3312209
Consumer,1350,84
Consumer,2727,0
Producer,5665,3404250
Producer,311,3424333
Producer,7279,3419334
Consumer,9795,83
Producer,4568,3466000
Consumer,4624,402875
Consumer,1716,83
Producer,5311,3535042
Producer,1732,3532750
Consumer,8767,756041
Producer,8500,3566125
Consumer,4501,42
Producer,6885,3571709
Consumer,238,42
Consumer,4198,250
Producer,4890,3648167
Consumer,4725,84
Consumer,5009,283042
Consumer,408,42
Producer,2851,3725542
Consumer,3855,262333
Producer,4189,3730583
Producer,9996,3767833
Consumer,8313,1080083
Producer,276,3798208
Producer,3870,3760916
Consumer,7680,906084
Producer,1397,3762042
Producer,4114,3805000
Producer,7316,3804416
Consumer,9810,136833
Consumer,2556,41
Producer,3325,3911250
Consumer,6916,84
Producer,5345,3946000
Consumer,1957,84
Producer,3911,3970542
Producer,6623,3977916
Consumer,738,42
Consumer,9046,663667
Producer,8383,4019792
Producer,697,3998834
Consumer,7848,244209
Producer,6499,4023791
Consumer,6152,982583
Consumer,4163,84
Producer,7718,4045708
Consumer,1688,208
Producer,6873,4117917
Consumer,9304,558209
Consumer,4856,125
Producer,7428,4232250
Consumer,6254,388667
Producer,2428,4287416
Producer,5754,4303750
Consumer,115,42
Consumer,9361,709750
Consumer,333,42
Producer,8522,4383625
Consumer,6438,41
Consumer,1571,41
Producer,6264,4575083
Producer,327,4568666
Producer,9708,4607458
Consumer,6246,83
Consumer,9891,397917
Producer,6657,4709375
Producer,9469,4701708
Consumer,5599,509167
Consumer,9004,1093208
Producer,2685,4954542
Producer,6358,4986583
Consumer,1923,0
Producer,1035,5040625
Consumer,9446,1826500
Producer,2329,5163375
Consumer,951,292
Producer,2816,5226417
Producer,2850,5246250
Consumer,7501,78875
Producer,7017,5310958
Consumer,5921,282750
Producer,6173,6738791
Consumer,3157,83
Producer,9750,6823875
Consumer,91,375
Consumer,9664,1611000
Consumer,1388,83
Consumer,1277,125
Producer,9335,7011833
Producer,5625,7000458
Producer,1698,7043917
Consumer,4319,210959
Consumer,8859,213833
Consumer,3810,83
Producer,4500,7186542
Consumer,1480,41
Producer,4476,7184458
Producer,2052,7187500
Consumer,1766,42
Producer,4975,7206208
Producer,1656,7216125
Consumer,1155,83
Consumer,9707,460709
Consumer,1212,42
Producer,9384,7304459
Consumer,9812,42
Producer,8377,7317625
Consumer,5477,82750
Consumer,3355,84
Producer,5586,7377708
Consumer,4936,42
Consumer,619,83
Producer,5035,7394834
Producer,5878,7342542
Consumer,8246,42
Consumer,3030,42
Producer,2213,7393667
Producer,9987,7387833
Consumer,6899,143416
Producer,2927,7420500
Producer,5068,7460125
Consumer,4715,288458
Consumer,2578,41
Producer,3183,7537875
Producer,1980,7528417
Consumer,6068,41
Producer,6094,7546500
Consumer,6868,42
Producer,8256,9710167
Consumer,9679,84
Producer,7664,9475750
Consumer,1790,42
Consumer,1543,83
Producer,7688,9485333
Consumer,1585,83
Producer,42961,166
Producer,81960,167
Producer,14600,333
Producer,52721,125
Producer,4286,42
Producer,2061,83
Producer,910,167
Producer,130,125
Producer,142,42
Producer,55,125
Consumer,11219,42
Consumer,79007,166
Consumer,65979,125
Producer,73093,34840708
Consumer,13871,83
Producer,27585,34878834
Consumer,94792,83
Producer,65050,34927083
Producer,17063,34934792
Consumer,59730,84
Producer,57254,34938666
Consumer,18096,125
Consumer,31907,84
Consumer,41586,83
Producer,79032,35091833
Producer,78200,35121459
Consumer,66001,123416
Producer,23368,35134750
Consumer,1228,41
Producer,47109,35174416
Consumer,32877,83
Consumer,7866,167
Consumer,92089,83
Producer,13193,35314292
Consumer,26239,42
Producer,66836,35270750
Consumer,56305,42
Producer,84836,35268125
Consumer,17906,42
Consumer,40271,84
Producer,50424,35219917
Producer,43837,35204167
Consumer,49569,84
Producer,55729,35454875
Consumer,45108,42
Consumer,8716,125
Producer,64127,35514334
Consumer,76878,83
Producer,50236,35551333
Consumer,68777,84
Consumer,82709,83
Producer,56847,35556375
Consumer,55129,42
Producer,77979,35539334
Producer,84156,35525375
Consumer,69531,84
Consumer,12341,42
Producer,22937,35445375
Consumer,12550,42
Consumer,19858,42
Consumer,67880,41
Producer,51328,35546791
Producer,52121,35538833
Producer,20976,35504167
Consumer,41305,83
Producer,77133,35788792
Consumer,39552,83
Consumer,85522,42
Producer,13294,35857625
Producer,77104,35791792
Consumer,64471,41
Consumer,60923,42
Producer,44301,35875708
Producer,62559,35876375
Consumer,88179,0
Producer,26894,35888875
Consumer,33555,83
Producer,44053,35901458
Consumer,55453,34000
Producer,12401,35925375
Consumer,18488,39625
Producer,78411,35958958
Consumer,51319,42
Producer,56631,35998333
Consumer,64583,42
Producer,69439,36109917
Consumer,72172,83
Producer,51496,36107334
Consumer,24074,42
Producer,1705,36140000
Consumer,48752,41
Producer,90026,36201292
Consumer,54563,83
Producer,21691,36251500
Consumer,45417,84
Producer,49886,36672291
Consumer,4505,41
Producer,13306,36709708
Consumer,38241,41
Producer,81241,36740375
Consumer,93871,41
Producer,25353,36798542
Consumer,19552,83
Producer,19266,36852916
Consumer,19890,42
Producer,48316,36968500
Consumer,4018,83
Producer,43255,37051083
Consumer,79580,1287292
Producer,53357,37103959
Consumer,79818,1084250
Producer,14102,37129125
Consumer,6580,42
Producer,64626,37495500
Consumer,36390,931333
Producer,13975,37525875
Consumer,50810,83
Producer,49051,37671041
Consumer,45029,1118708
Producer,17881,37759166
Consumer,12489,125
Producer,58187,37938083
Consumer,36086,83
Producer,61203,37996333
Consumer,84666,1753334
Producer,22414,38027792
Consumer,15274,83
Producer,52446,38107541
Consumer,56091,41
Producer,76744,38178458
Consumer,74636,1052084
Producer,71588,38200583
Consumer,79662,1050333
Producer,33371,38204250
Consumer,12107,83
Producer,4584,38288375
Consumer,24941,41
Producer,22516,38387084
Consumer,36201,84
Producer,89447,38771792
Consumer,67759,1349083
Producer,9192,38812125
Consumer,10254,42
Producer,92667,38901583
Consumer,56543,83
Producer,88716,38945834
Consumer,34190,1497542
Producer,32813,38988084
Consumer,92783,1353834
Consumer,28394,41
Producer,42676,39006833
Producer,15368,39025541
Consumer,30761,83
Consumer,16076,42
Producer,44816,39112334
Producer,16076,39103834
Consumer,67027,3671916
Producer,83138,39231917
Consumer,93593,2468167
Producer,34367,39252000
Consumer,36816,83
Producer,71105,39683584
Consumer,58125,42
Producer,51290,39756084
Consumer,51523,1789125
Producer,63197,39776750
Consumer,58713,41
Producer,43401,39842542
Consumer,66258,2772125
Producer,44374,39849333
Consumer,19729,42
Producer,83508,39913500
Consumer,51240,1913209
Producer,67187,39920583
Consumer,97058,2960375
Producer,93433,39957833
Consumer,94158,1806209
Producer,39422,40052500
Consumer,66637,1878709
Producer,79051,40066625
Consumer,63335,1785125
Producer,15428,40072208
Consumer,5432,42
Producer,75701,40105417
Consumer,72377,5013875
Consumer,2172,167
Producer,33156,40239458
Producer,31113,40266667
Consumer,90915,41
Producer,89512,40310208
Consumer,13494,209
Producer,74247,40405000
Consumer,59675,3332375
Producer,78234,40471667
Consumer,78670,1955792
Consumer,7285,41
Producer,57121,40428792
Producer,2488,40438250
Consumer,24170,83
Consumer,77343,3260708
Consumer,8242,83
Producer,78439,40514458
Producer,507,40518167
Producer,51378,40506125
Consumer,90509,5946750
Consumer,81257,1599916
Producer,26521,40536791
Producer,90730,40552792
Consumer,11392,84
Consumer,99222,1536333
Producer,33327,40612667
Producer,49010,40607333
Consumer,88263,1606875
Producer,26260,40676042
Consumer,7319,42
Producer,97167,40920042
Consumer,42118,1731375
Consumer,63736,84
Producer,3207,40922583
Producer,88488,40925666
Consumer,65281,3652792
Consumer,24109,83
Consumer,7966,42
Producer,71419,40976625
Producer,49814,40983125
Consumer,82782,3369750
Consumer,42499,1383500
Producer,43268,41027959
Producer,47376,41020791
Consumer,62029,3395792
Producer,35570,41042125
Consumer,3658,83
Producer,89721,41054666
Consumer,95611,42
Producer,97265,41121875
Consumer,95266,3045125
Producer,98664,41124583
Consumer,83560,2666959
Consumer,16238,83
Producer,47763,41151375
Consumer,88922,41
Producer,81534,41144583
Consumer,81285,42
Producer,26102,41190542
Producer,47029,41221084
Consumer,11884,1017333
Consumer,51090,2536542
Producer,34406,41201583
Producer,41145,41205542
Consumer,95435,42
Producer,98892,41232875
Consumer,56581,955125
Producer,23030,41241291
Consumer,61787,951125
Producer,70152,41230459
Consumer,79940,766208
Producer,34005,41264125
Consumer,29847,41
Producer,33758,41603708
Consumer,39851,42
Producer,38196,41652584
Consumer,22428,42
Producer,87752,41888208
Consumer,41251,83
Consumer,25563,83
Producer,43763,41975250
Producer,24414,41959333
Consumer,19292,41
Consumer,81234,2282750
Producer,3329,42014917
Producer,9224,41998791
Consumer,9655,84
Producer,27212,42085875
Consumer,32930,42
Producer,4795,42169792
Consumer,4071,125
Producer,67812,42794667
Consumer,35479,2998458
Consumer,22178,83
Producer,36948,42859834
Consumer,45022,83
Producer,74900,42886333
Consumer,37964,41
Producer,34086,42919750
Consumer,38265,41
Producer,14619,42919458
Producer,554,42940625
Consumer,36202,42
Producer,57296,42986292
Consumer,62809,41
Producer,65443,43008667
Consumer,22680,42
Consumer,38315,1557459
Producer,96224,43025084
Producer,6729,43016708
Consumer,90294,8742667
Consumer,24955,42
Producer,69675,43073041
Producer,8286,43079625
Consumer,16801,84
Producer,37728,43175750
Consumer,48848,7252208
Producer,5993,43173333
Consumer,2536,125
Consumer,53245,0
Producer,62825,43456709
Consumer,52759,83
Producer,6248,43502708
Producer,65241,43538000
Consumer,44901,83
Producer,72964,43565750
Consumer,98816,1672167
Producer,61224,43606208
Consumer,33651,1724083
Producer,39926,43581500
Consumer,69311,1643000
Producer,30700,43601250
Consumer,29668,1662583
Producer,94830,43612291
Consumer,52211,1671542
Producer,25524,43636708
Consumer,23842,83
Consumer,32938,1712917
Producer,33221,43662000
Consumer,17911,42
Producer,91127,43668750
Consumer,75184,1758291
Producer,76476,43731666
Consumer,30083,1792750
Producer,11958,43755792
Consumer,96716,84
Producer,9476,43795042
Producer,45560,43839583
Consumer,61214,125
Producer,17723,43843583
Consumer,22885,83
Producer,1668,44207625
Consumer,7586,84
Producer,43848,45579000
Consumer,1170,84
Producer,22396,45607792
Consumer,56508,7548958
Producer,78458,45614333
Consumer,77055,11005959
Producer,7045,45630792
Consumer,15370,83
Producer,20497,45747875
Consumer,11795,42
Producer,52209,45774500
Consumer,2578,42
Producer,1579,45794042
Consumer,7517,83
Producer,65934,45957125
Consumer,44074,42
Consumer,12427,83
Producer,98913,46032292
Consumer,81038,42
Producer,29488,46037417
Consumer,54403,3408584
Producer,77564,46055125
Consumer,48551,5153250
Producer,74325,46044291
Consumer,97263,5113292
Producer,19193,46048209
Producer,16184,46056458
Consumer,74148,4582208
Producer,10183,46042625
Consumer,5818,84
Producer,3243,46099125
Consumer,25096,42
Producer,73124,46374292
Consumer,54233,6918291
Producer,18918,46379042
Consumer,9818,84
Producer,46248,46392792
Consumer,45897,208
Consumer,21616,41
Producer,10001,46470875
Producer,68217,46453459
Consumer,64346,2948125
Producer,85566,46480208
Consumer,92402,2985917
Producer,65594,46506750
Consumer,73785,2947375
Producer,94841,46528209
Consumer,69563,5010250
Producer,80583,46570583
Consumer,19326,3020792
Producer,56905,46578750
Consumer,69231,41
Consumer,83012,3046958
Producer,12844,46620625
Producer,90590,46613375
Consumer,24271,3085125
Consumer,33902,3062334
Producer,85061,46622542
Producer,8838,46646375
Consumer,9605,3168042
Consumer,58944,3103167
Producer,13906,46692208
Producer,72655,46674791
Consumer,98604,3150417
Consumer,57367,3131792
Producer,70265,46663834
Producer,90719,46668458
Consumer,91487,3177625
Consumer,17186,3161375
Producer,22216,46741000
Producer,41988,46741875
Consumer,58523,3199083
Producer,56060,46741000
Consumer,68391,3178417
Producer,50978,46471625
Consumer,71870,3181000
Producer,88960,46505250
Consumer,9606,3191375
Consumer,15048,42
Producer,82415,46778166
Consumer,94222,41
Consumer,39904,3480542
Producer,64661,46819583
Producer,31490,46845959
Consumer,48869,42
Consumer,30767,84
Consumer,18023,3504542
Consumer,21522,3491250
Producer,42465,46901958
Producer,78635,46976750
Producer,48209,47029208
Consumer,77016,3650125
Consumer,76803,3642667
Producer,22257,47085709
Producer,16878,47098416
Consumer,11243,3610375
Producer,50122,47129459
Consumer,30920,3618209
Producer,25583,47138084
Consumer,93193,3602084
Consumer,6768,83
Producer,18012,47135375
Producer,47030,47095500
Consumer,33606,3639666
Consumer,6419,83
Producer,88610,47144292
Producer,58527,47126458
Consumer,67880,3637791
Consumer,60124,3634791
